8.46292	0.243462	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	8.44818	0.251553	8.46292	0.243462
8.4485	0.251375	-0.000721612	0.000396111	8.44818	0.251553	8.45	0.25	-3.00027	0	8.45582	0.253997	8.56759	0.241943
8.47169	0.241977	-0.00523361	-0.000298806	8.56759	0.241943	8.45	0.25	0	0	8.23962	0.24916	8.42544	0.254042
8.46441	0.242007	-0.00817255	-0.000196406	8.45582	0.253997	8.45	0.25	0	0	7.84073	0.159858	7.93286	0.188391
8.37735	0.247075	-0.967907	-0.0553767	8.42544	0.254042	8.35	0.25	-1.81979	0	7.54016	0.159641	7.61269	0.155818
8.29832	0.244043	-0.985733	-0.0553187	8.23962	0.24916	8.25	0.25	-1.81978	0	7.3426	0.0345312	7.50815	0.0953827
8.09404	0.218737	-2.14297	-0.091937	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	7.05406	-0.0533413	7.20598	0.00492725
7.95182	0.21405	-2.17363	-0.0924044	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	6.84972	-0.258748	6.74585	-0.143185
7.7801	0.191737	-2.55623	-0.0678455	7.61269	0.155818	7.7	0.15	-2.99982	0	6.64329	-0.462604	6.66966	-0.346668
7.62929	0.188303	-2.58016	-0.0680928	7.54016	0.159641	7.55	0.15	-2.99982	0	6.56029	-0.650892	6.60862	-0.557035
7.52207	0.156487	-2.34577	-0.0274576	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	6.45805	-1.05268	6.40696	-0.842921
7.38343	0.154793	-2.35737	-0.0288334	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	6.25499	-1.25007	6.38626	-1.15695
7.22865	0.103938	-2.50982	-0.00749041	7.20598	0.00492725	7.2	9.50E-07	-2.72851	-0.909507	6.36328	-1.65656	6.43125	-1.48148
7.0841	0.103286	-2.51869	-0.00927613	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	6.24641	-1.95075	6.3228	-1.81431
6.9825	0.0203027	-2.23973	0.0262476	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	6.34644	-2.23829	6.31851	-2.10969
6.85769	0.021313	-2.24214	0.0230546	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	6.34927	-2.55175	6.32593	-2.40018
6.75431	-0.0962546	-2.17262	0.0911691	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	6.43257	-2.84245	6.43125	-2.71878
6.64531	-0.092217	-2.17321	0.0879731	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	6.44119	-3.14955	6.46536	-3.00452
6.61252	-0.23523	-1.73064	0.0524081	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	6.5453	-3.45745	6.52249	-3.32007
6.53151	-0.233167	-1.72237	0.0487899	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	6.76011	-3.75457	6.6358	-3.59197
6.50967	-0.424481	-1.27815	0.0249215	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	6.85997	-4.05805	6.83625	-3.92723
6.44241	-0.424024	-1.27347	0.0177395	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	6.94332	-4.34473	6.86943	-4.18507
6.37599	-0.65938	-1.25471	0.192619	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	7.04099	-4.55018	7.05156	-4.49706
6.29842	-0.649698	-1.26806	0.185773	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	7.14735	-4.86125	7.10252	-4.67934
6.40523	-0.945895	-0.258838	-0.417218	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	7.30424	-5.15404	7.3138	-5.05204
6.3864	-0.96988	-0.266048	-0.425041	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	7.44737	-5.45308	7.29446	-5.23429
6.37449	-1.244	-0.248149	0.0253125	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	7.64356	-5.66706	7.63082	-5.61863
6.34325	-1.24372	-0.277106	0.0191956	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	7.7342	-5.95374	7.60376	-5.74774
6.43534	-1.53324	0.345153	-0.582309	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	7.95703	-6.24328	7.82165	-6.06822
