4.16013	2.57544	5.19975	0.00179686
4.17387	1.71198	5.19898	0.0107781
4.97993	1.53109	5.19766	0.0269323
4.85297	1.37451	5.19573	0.0502389
5.0693	1.12119	5.19309	0.080668
5.11447	0.697035	5.18963	0.11818
5.35968	0.891578	5.18519	0.162724
5.06473	0.756034	5.17962	0.214238
4.78695	0.612028	5.1727	0.272649
5.3834	0.658323	5.16422	0.337868
4.86991	0.308677	5.15393	0.409793
4.96742	0.627283	5.14157	0.488305
4.63181	0.400684	5.12685	0.573269
5.43637	0.551206	5.10946	0.664531
4.72444	0.497236	5.08907	0.761915
5.50452	0.918341	5.06537	0.865226
5.20615	0.601655	5.03798	0.974245
5.25215	0.792764	5.00656	1.08873
4.74344	0.776735	4.97074	1.20841
4.50936	0.704167	4.93014	1.33298
5.10267	0.635157	4.8844	1.46213
4.82627	0.647285	4.83313	1.59551
5.19668	0.92037	4.77598	1.73273
5.26418	0.745748	4.71257	1.87338
5.33906	1.07607	4.64258	2.01701
4.38226	1.07736	4.56565	2.16317
4.71456	0.933668	4.48147	2.31134
5.13451	1.01239	4.38974	2.46099
4.97896	1.34365	4.29021	2.61157
4.50472	1.21572	4.18263	2.76249
4.67686	1.01444	4.06678	2.91315
4.27004	1.10199	3.94251	3.0629
4.56495	1.22095	3.80966	3.21109
3.74369	1.12844	3.66817	3.35704
4.08814	1.09528	3.51797	3.50008
3.92041	1.0544	3.35907	3.63949
3.65792	1.23923	3.19151	3.77458
3.82008	1.43117	3.01542	3.90462
3.62156	1.38199	2.83093	4.0289
3.83729	1.47785	2.63825	4.14672
3.25617	1.29931	2.43767	4.25737
3.51878	1.39843	2.22949	4.36017
3.46866	1.49	2.01409	4.45445
3.11335	1.3221	1.7919	4.53956
2.9021	1.40421	1.56341	4.61488
2.6561	1.32236	1.32916	4.67984
2.88987	1.73913	1.08972	4.73389
2.43421	1.33639	0.845742	4.77652
2.54777	1.61783	0.597892	4.80727
1.76104	1.12246	0.346889	4.82575
2.58116	1.5473	0.093487	4.83159
1.66709	1.03945	-0.161529	4.82451
1.86591	1.09336	-0.417348	4.80428
1.76748	1.20368	-0.673135	4.77072
1.45604	0.968659	-0.928043	4.72374
1.39647	1.02251	-1.18121	4.66331
1.4053	0.979244	-1.43177	4.58944
0.381206	0.292237	-1.67887	4.50226
0.909064	0.68783	-1.92164	4.40193
0.929958	0.776868	-2.15925	4.28868
0.553379	0.464827	-2.39087	4.16284
-0.0446123	-0.0419454	-2.61571	4.02476
0.788733	0.713869	-2.83299	3.87489
0.485757	0.464834	-3.042	3.71372
-0.0671298	-0.0641806	-3.24204	3.5418
0.109758	0.105571	-3.43247	3.35973
-0.177769	-0.180622	-3.61271	3.16817
-0.106872	-0.124482	-3.78221	2.9678
-0.331182	-0.414199	-3.9405	2.75938
-0.580261	-0.645136	-4.08716	2.54364
-0.272591	-0.322697	-4.22185	2.32141
-0.416809	-0.619093	-4.34427	2.09347
-0.621285	-0.840747	-4.4542	1.86068
-0.713148	-1.08217	-4.55149	1.62386
-0.828669	-1.25045	-4.63606	1.38386
